time,deviceName,max_dB,class_label,average_dB,stdev,rssi,snr
2025-12-13 00:00:55,INMP441,58.7,Background Noise,54.2,1.78,-104,7.5
2025-12-13 00:01:55,INMP441,58.6,Background Noise,54.4,1.89,-103,9.8
2025-12-13 00:02:55,INMP441,59.4,People,54.2,1.9,-112,2.8
2025-12-13 00:03:55,INMP441,59.6,Background Noise,54.0,2.06,-111,4.0
2025-12-13 00:04:55,INMP441,59.4,Background Noise,54.0,2.27,-107,6.8
2025-12-13 00:05:55,INMP441,58.8,Background Noise,54.3,1.8,-110,4.3
2025-12-13 00:06:55,INMP441,59.1,Background Noise,54.0,1.99,-105,7.3
2025-12-13 00:07:55,INMP441,59.1,Background Noise,54.2,1.57,-110,4.8
2025-12-13 00:08:56,INMP441,59.1,Background Noise,54.5,1.89,-106,7.5
2025-12-13 00:09:56,INMP441,58.2,Background Noise,54.1,1.6,-105,8.5
2025-12-13 00:11:56,INMP441,58.6,Background Noise,54.2,1.84,-109,5.5
2025-12-13 00:12:56,INMP441,59.1,Background Noise,54.3,1.7,-110,5.0
2025-12-13 00:13:56,INMP441,58.8,Background Noise,54.4,1.57,-104,9.8
2025-12-13 00:14:56,INMP441,59.2,Background Noise,54.1,2.07,-110,4.5
2025-12-13 00:15:56,INMP441,58.6,Background Noise,54.2,2.3,-111,4.3
2025-12-13 00:16:56,INMP441,59.0,Background Noise,54.2,1.6,-109,6.0
2025-12-13 00:17:56,INMP441,58.2,Background Noise,54.4,1.67,-105,8.3
2025-12-13 00:18:56,INMP441,58.2,Background Noise,54.1,1.51,-105,8.8
2025-12-13 00:19:56,INMP441,58.3,Background Noise,54.1,2.18,-108,6.5
2025-12-13 00:20:56,INMP441,60.0,Background Noise,54.3,1.86,-109,4.5
2025-12-13 00:21:56,INMP441,58.7,Background Noise,54.2,1.73,-111,3.3
2025-12-13 00:22:56,INMP441,58.6,Background Noise,54.2,1.54,-104,8.0
2025-12-13 00:23:56,INMP441,58.4,Background Noise,54.3,1.77,-110,5.5
2025-12-13 00:24:56,INMP441,59.5,Background Noise,54.3,1.84,-104,9.8
2025-12-13 00:25:56,INMP441,59.1,Background Noise,54.2,1.77,-104,9.8
2025-12-13 00:26:56,INMP441,58.7,Background Noise,54.1,2.22,-109,5.8
2025-12-13 00:27:56,INMP441,58.8,Background Noise,54.2,2.36,-107,7.3
2025-12-13 00:28:56,INMP441,60.1,Background Noise,54.3,1.75,-108,7.5
2025-12-13 00:29:56,INMP441,58.3,Background Noise,54.3,2.07,-104,8.3
2025-12-13 00:30:56,INMP441,58.0,Background Noise,54.2,1.83,-109,6.5
2025-12-13 00:31:56,INMP441,58.1,Background Noise,54.3,1.54,-107,8.0
2025-12-13 00:32:56,INMP441,59.0,Background Noise,54.3,1.61,-107,8.0
2025-12-13 00:33:56,INMP441,58.7,Background Noise,54.3,1.93,-109,6.3
2025-12-13 00:34:56,INMP441,58.4,Background Noise,54.1,1.78,-104,10.3
2025-12-13 00:35:56,INMP441,58.3,Background Noise,54.1,1.7,-108,6.0
2025-12-13 00:36:56,INMP441,58.2,Background Noise,54.1,1.87,-104,7.8
2025-12-13 00:37:56,INMP441,59.3,Background Noise,54.2,1.95,-107,7.5
2025-12-13 00:38:57,INMP441,60.7,Background Noise,54.4,1.6,-105,9.3
2025-12-13 00:39:57,INMP441,58.4,Background Noise,54.2,1.52,-107,7.8
2025-12-13 00:40:57,INMP441,59.6,Background Noise,54.4,1.72,-104,10.3
2025-12-13 00:41:57,INMP441,58.5,Background Noise,54.1,1.94,-108,7.5
2025-12-13 00:42:57,INMP441,59.2,Background Noise,54.4,1.6,-108,6.8
2025-12-13 00:43:57,INMP441,59.0,Background Noise,54.2,1.51,-105,7.3
2025-12-13 00:44:57,INMP441,58.3,Background Noise,54.4,1.74,-104,10.5
2025-12-13 00:45:57,INMP441,59.0,Background Noise,54.4,1.57,-107,8.3
2025-12-13 00:46:57,INMP441,58.3,Background Noise,54.3,2.01,-105,8.8
2025-12-13 00:47:57,INMP441,58.4,Background Noise,54.2,1.49,-107,7.8
2025-12-13 00:48:57,INMP441,58.7,Background Noise,54.2,2.0,-104,9.3
2025-12-13 00:49:57,INMP441,57.9,Background Noise,54.4,1.46,-107,7.8
2025-12-13 00:50:57,INMP441,58.0,People,54.2,1.71,-106,8.8
2025-12-13 00:51:57,INMP441,57.5,Background Noise,54.3,1.77,-107,8.3
2025-12-13 00:52:57,INMP441,58.8,Background Noise,54.4,1.74,-104,8.3
2025-12-13 00:53:57,INMP441,57.9,Background Noise,54.2,1.72,-107,6.5
2025-12-13 00:54:57,INMP441,57.8,Background Noise,54.4,1.51,-105,7.8
2025-12-13 00:55:57,INMP441,58.8,Background Noise,54.6,1.54,-108,6.5
2025-12-13 00:56:57,INMP441,58.2,Background Noise,54.6,1.34,-104,10.3
2025-12-13 00:57:57,INMP441,58.4,Background Noise,54.3,2.11,-109,6.3
2025-12-13 00:58:57,INMP441,58.6,Background Noise,54.3,1.76,-105,9.0
2025-12-13 00:59:57,INMP441,58.4,Background Noise,54.3,1.69,-104,6.8
2025-12-13 01:00:57,INMP441,57.7,Background Noise,54.5,1.49,-104,10.5
2025-12-13 01:01:57,INMP441,57.8,Background Noise,54.5,1.71,-107,8.0
2025-12-13 01:02:57,INMP441,57.9,Background Noise,54.4,1.76,-107,8.5
2025-12-13 01:03:57,INMP441,59.8,Background Noise,54.6,1.52,-104,-1.5
2025-12-13 01:04:57,INMP441,58.4,Background Noise,54.6,1.52,-104,8.5
2025-12-13 01:05:58,INMP441,57.9,Background Noise,54.4,1.44,-110,5.3
2025-12-13 01:06:58,INMP441,59.5,Background Noise,54.4,1.83,-110,5.5
2025-12-13 01:07:58,INMP441,58.8,Background Noise,54.3,1.78,-103,10.5
2025-12-13 01:08:58,INMP441,57.8,Background Noise,54.3,1.43,-103,10.5
2025-12-13 01:09:58,INMP441,59.1,Background Noise,54.5,1.48,-105,8.8
2025-12-13 01:10:58,INMP441,59.2,Background Noise,54.4,1.81,-107,8.3
2025-12-13 01:11:58,INMP441,58.6,Background Noise,54.4,2.0,-107,7.8
2025-12-13 01:12:58,INMP441,58.2,Background Noise,54.7,1.66,-106,8.8
